parent_layer,child_layer,parent_node_id,child_node_id,js_distance,weight_edge,alpha,eta_used,parent_doc_count,child_doc_count
1,2,1,16272,0.6987750616887943,4.0,1.0,0.05,398.0,4.0
1,2,1,16555,0.688041110802815,11.0,1.0,0.05,398.0,11.0
1,2,1,18213,0.6941488800929088,2.0,1.0,0.05,398.0,2.0
1,2,1,18669,0.6911156727122644,4.0,1.0,0.05,398.0,4.0
1,2,1,18975,0.6944531992837705,3.0,1.0,0.05,398.0,3.0
1,2,1,19034,0.710128535671824,8.0,1.0,0.05,398.0,8.0
1,2,1,19880,0.7009871552703223,4.0,1.0,0.05,398.0,4.0
1,2,1,20673,0.6951533915223974,9.0,1.0,0.05,398.0,9.0
1,2,1,20876,0.6816617687322103,4.0,1.0,0.05,398.0,4.0
1,2,1,20956,0.6965726866644378,3.0,1.0,0.05,398.0,3.0
1,2,1,21071,0.6750108956344595,5.0,1.0,0.05,398.0,5.0
1,2,1,21166,0.6789305813643006,4.0,1.0,0.05,398.0,4.0
1,2,1,21296,0.680777528228777,4.0,1.0,0.05,398.0,4.0
1,2,1,21313,0.7086717476532074,6.0,1.0,0.05,398.0,6.0
1,2,1,21348,0.6990786903767807,4.0,1.0,0.05,398.0,4.0
1,2,1,21460,0.6847321176256519,4.0,1.0,0.05,398.0,4.0
1,2,1,21546,0.679305092628213,3.0,1.0,0.05,398.0,3.0
1,2,1,21804,0.6787375576229301,2.0,1.0,0.05,398.0,2.0
1,2,1,21823,0.6669407866473543,398.0,1.0,0.05,398.0,1.0
1,2,1,21872,0.6739767508439701,3.0,1.0,0.05,398.0,3.0
1,2,1,21973,0.6859244336967864,4.0,1.0,0.05,398.0,4.0
1,2,1,22027,0.6819039964763925,3.0,1.0,0.05,398.0,3.0
1,2,1,22170,0.6895454519161929,7.0,1.0,0.05,398.0,7.0
1,2,1,22368,0.6864803324834161,3.0,1.0,0.05,398.0,3.0
1,2,1,22394,0.6882780064291713,3.0,1.0,0.05,398.0,3.0
1,2,1,22464,0.6790853509367089,2.0,1.0,0.05,398.0,2.0
1,2,1,22505,0.6807599076628275,3.0,1.0,0.05,398.0,3.0
1,2,1,22513,0.6839494231354732,3.0,1.0,0.05,398.0,3.0
1,2,1,22617,0.6885764458732149,3.0,1.0,0.05,398.0,3.0
1,2,1,22648,0.6832924806301625,2.0,1.0,0.05,398.0,2.0
1,2,1,22663,0.6992242892951077,4.0,1.0,0.05,398.0,4.0
1,2,1,22670,0.6850790948548039,2.0,1.0,0.05,398.0,2.0
1,2,1,22692,0.6845926164178857,3.0,1.0,0.05,398.0,3.0
1,2,1,22694,0.6858692013270159,3.0,1.0,0.05,398.0,3.0
1,2,1,22719,0.6863513190513244,2.0,1.0,0.05,398.0,2.0
1,2,1,22722,0.6999538277181767,3.0,1.0,0.05,398.0,3.0
1,2,1,22726,0.6879908507180114,3.0,1.0,0.05,398.0,3.0
1,2,1,22742,0.6604018011345872,2.0,1.0,0.05,398.0,2.0
1,2,1,22757,0.6979843821055499,6.0,1.0,0.05,398.0,6.0
1,2,1,22771,0.6749514249964387,2.0,1.0,0.05,398.0,2.0
1,2,1,22777,0.6514267913939679,398.0,1.0,0.05,398.0,1.0
1,2,1,22801,0.6689249503226434,398.0,1.0,0.05,398.0,1.0
1,2,1,22822,0.6622027689385971,398.0,1.0,0.05,398.0,1.0
1,2,1,22828,0.6762437300621987,398.0,1.0,0.05,398.0,1.0
1,2,1,22832,0.6698242973763312,398.0,1.0,0.05,398.0,1.0
1,2,4784,14318,0.6394815913384416,8.0,1.0,0.05,8.0,8.0
1,2,4214,21138,0.6262501752176494,4.0,1.0,0.05,12.0,4.0
1,2,4214,21746,0.6144362207369614,3.0,1.0,0.05,12.0,3.0
1,2,4214,22716,0.5810544372695566,2.0,1.0,0.05,12.0,2.0
