Gamma,Alpha,Eta,Run_Index,Live_Topics,LL_per_word,Weighted_NPMI,Weighted_Cv,Unweighted_NPMI,Unweighted_Cv,Perplexity,Weighted_Renyi_Entropy,JSD_Diversity,Iterations,Converged,Time_sec
0.1,0.1,0.01,4,4,-6.675859545,0.017536253,0.46739209,-0.223446726,0.453456286,793.0288046,5.690267258,0.806110045,1060,Yes,9.624653101
0.1,0.1,0.01,5,4,-6.683013988,0.000395546,0.452813538,-0.169244285,0.433078245,798.7228286,5.693474328,0.864811485,1110,Yes,9.575889587
0.1,0.1,0.05,1,4,-6.627362538,0.020785475,0.486385933,-0.093080237,0.542809408,755.4869725,5.686756998,0.895433945,1060,Yes,9.555421352
0.1,0.1,0.05,2,7,-6.633335397,0.012760413,0.476250553,-0.075840214,0.39682085,760.0128929,5.692856984,0.921644432,1060,Yes,9.413419247
0.1,0.1,0.05,3,5,-6.624093744,0.020162473,0.485413079,-0.097244853,0.436642236,753.0214729,5.690954306,0.877941484,1060,Yes,9.211572409
0.1,0.1,0.05,4,6,-6.623065166,0.0168819,0.467727535,-0.023636213,0.482283724,752.2473301,5.687418987,0.89318527,1060,Yes,9.640970707
0.1,0.1,0.05,5,5,-6.633389405,0.004067543,0.456728443,-0.104760676,0.426519843,760.0539402,5.698051173,0.896730916,1060,Yes,9.481026888
0.1,0.1,0.1,1,5,-6.610864062,0.020357804,0.484592803,-0.010606032,0.359315875,743.1248475,5.698146417,0.893055601,1060,Yes,8.716663122
0.1,0.1,0.1,2,6,-6.618556646,0.013243839,0.470181902,-0.094973782,0.395632921,748.8634417,5.72281158,0.892745769,1060,Yes,10.00891662
0.1,0.1,0.1,3,4,-6.607007995,0.020186075,0.485065614,-0.129495018,0.436598895,740.2648258,5.699473745,0.890355497,1090,Yes,8.923570156
0.1,0.1,0.1,4,7,-6.57709307,0.022963456,0.489259269,-0.049716755,0.504042877,718.447813,5.661536178,0.913210769,1100,Yes,9.97099185
0.1,0.1,0.1,5,6,-6.606995942,0.004951254,0.459899409,-0.096742415,0.422074287,740.2559033,5.701799716,0.906525824,1060,Yes,9.835717916
0.1,0.1,0.5,1,4,-6.576603577,0.020583886,0.484082269,-0.138726174,0.417525659,718.0962243,5.726226562,0.87291247,1080,Yes,9.400022268
0.1,0.1,0.5,2,3,-6.566367853,0.018145003,0.476426857,-0.129473434,0.479974854,710.7834788,5.708887206,0.722697941,1060,Yes,8.692198277
0.1,0.1,0.5,3,3,-6.566601776,0.013080785,0.457799846,-0.214698675,0.498119623,710.9497672,5.704190577,0.700944134,1060,Yes,9.523637533
0.1,0.1,0.5,4,3,-6.578780356,0.020629098,0.484263869,-0.148209253,0.452257562,719.6610633,5.72562676,0.845550525,1060,Yes,8.596718311
0.1,0.1,0.5,5,4,-6.572424768,0.006112869,0.44474439,-0.115101695,0.449645959,715.1016981,5.713670087,0.776942345,1060,Yes,9.017029047
0.1,0.1,1,1,3,-6.576739465,0.019303002,0.48245695,-0.101047516,0.4572071,718.1938114,5.749860754,0.850300515,1060,Yes,9.231219292
0.1,0.1,1,2,3,-6.58861308,0.01319925,0.477914189,-0.250739128,0.453078663,726.772196,5.768445389,0.812848286,1060,Yes,8.939729214
0.1,0.1,1,3,3,-6.567300452,0.013451125,0.438269608,-0.130304935,0.466515475,711.4466638,5.744067176,0.666932536,1060,Yes,8.926868439
0.1,0.1,1,4,3,-6.581125472,0.021189963,0.485339994,-0.222687972,0.468746153,721.3507328,5.748836928,0.809802622,1060,Yes,9.133197546
0.1,0.1,1,5,3,-6.564860122,0.011163596,0.456949259,-0.13178668,0.476974206,709.7126163,5.745261344,0.682825847,1060,Yes,8.884576797
0.1,0.1,2,1,2,-6.589741387,0.021597866,0.485799481,-0.1689691,0.508518391,727.5926809,5.801734341,0.785343884,1070,Yes,8.974149942
0.1,0.1,2,2,2,-6.586522609,0.0215637,0.485844116,-0.1689691,0.508518391,725.2544863,5.802323924,0.785056446,1060,Yes,9.156650543
0.1,0.1,2,3,3,-6.590551459,0.018721799,0.482298041,-0.147137362,0.424918303,728.182322,5.808523646,0.85330339,1060,Yes,8.671428204
0.1,0.1,2,4,2,-6.586720572,0.013169361,0.478483689,-0.268442191,0.516271909,725.398074,5.799400275,0.726313306,1090,Yes,8.800325632
0.1,0.1,2,5,2,-6.592605482,0.009176154,0.463095705,-0.270691643,0.508415145,729.6795625,5.809271779,0.730067035,1060,Yes,8.75541091
0.1,0.1,5,1,2,-6.632274169,0.012862272,0.474931716,-0.17489816,0.501287557,759.2067731,5.945429676,0.794563237,1060,Yes,8.843161345
0.1,0.1,5,2,2,-6.638614516,0.010992164,0.464658894,-0.177528176,0.49320038,764.0357003,5.961437371,0.770095231,1060,Yes,8.652293444
0.1,0.1,5,3,2,-6.634741784,0.019073027,0.482839296,-0.170533165,0.506502141,761.0825166,5.951664445,0.773911488,1060,Yes,8.992749929
