Gamma,Alpha,Eta,Run_Index,Live_Topics,LL_per_word,Weighted_NPMI,Weighted_Cv,Unweighted_NPMI,Unweighted_Cv,Perplexity,Weighted_Renyi_Entropy,JSD_Diversity,Iterations,Converged,Time_sec
0.1,0.5,2.0,3,3,-6.595986460417121,0.0213198441234895,0.4854433439117276,-0.1424894647560892,0.4420049497593583,732.1507683302215,5.801838969161347,0.8846184657428563,1080,Yes,8.462167501449585
0.1,0.5,2.0,5,3,-6.593820504893367,0.0107379346024538,0.4754480069741752,-0.1488013673198313,0.4528740669674032,730.5666784827084,5.798805917972856,0.8645669187084959,1060,Yes,7.92602801322937
0.1,0.5,2.0,4,2,-6.595560140189162,0.0098156335802085,0.4636461575976657,-0.2706916430723016,0.5084151449459924,731.8387041721246,5.816789839310986,0.7251025702628265,1060,Yes,8.032473802566528
0.1,0.5,5.0,5,2,-6.634698682434747,0.0191945750915263,0.4827748014128598,-0.1705331645352927,0.5065021405872224,761.0497136238426,5.944535999050958,0.7862184282409119,1060,Yes,8.799534797668457
0.1,0.5,5.0,2,2,-6.640981126691766,0.0138661441451172,0.4784874350120819,-0.1745289058991491,0.503676065642178,765.8460165037745,5.952384534093946,0.7848499572829768,1060,Yes,8.91055679321289
0.1,0.5,5.0,4,2,-6.637241607719374,0.0136949833378031,0.485484833941092,-0.1750243189066279,0.5087346865028244,762.9874689227444,5.9512406262854745,0.7853303109997789,1060,Yes,8.606559991836548
0.1,1.0,0.01,1,8,-6.716981252699642,0.0168919689838555,0.4675956348507916,-0.0945125191236345,0.4246352056821398,826.3192934977467,5.665508272427799,0.9689612289225822,1060,Yes,9.914529085159302
0.1,1.0,0.01,2,10,-6.699517949263764,0.0146934667436049,0.486858200542243,-0.1170669208397895,0.4502923963690117,812.014298716787,5.671322730526778,0.9358538811892556,1280,Yes,11.458583116531372
0.1,1.0,0.01,4,12,-6.7133416942107775,0.0115033239691153,0.4651015054069594,-0.1354620720300345,0.5254896633868167,823.3173223371664,5.6782164825408525,0.9206024502595512,1550,Yes,14.14970874786377
0.1,1.0,0.05,5,6,-6.661872112335008,0.0161313506336717,0.4630349864796655,-0.1181048299418887,0.4801286206140018,782.0135848575391,5.69942207809037,0.8961249825870726,1360,Yes,10.636273860931396
0.1,1.0,0.05,1,6,-6.6554174342442325,0.0153060378191443,0.4855499813978344,-0.1575173618574579,0.4168833863687294,776.9821943761253,5.6905530808682325,0.906132989335186,1130,Yes,9.748127460479736
0.1,1.0,0.05,4,12,-6.671272453914546,0.0113375439323945,0.4669752168520582,-0.1019565779577516,0.4312650398684635,789.3994400675685,5.673435290704546,0.9456345373545936,1340,Yes,12.686156034469604
0.1,1.0,0.1,1,7,-6.639414926344578,0.0155218534904186,0.4805718494957181,-0.1102156186632997,0.4188434058463732,764.6474870204779,5.673842209850534,0.9362461843252612,1120,Yes,9.723443269729614
0.1,1.0,0.1,2,9,-6.6363816691763695,0.0149419824484992,0.4840134736181842,-0.0570440820537656,0.4460317545472819,762.3316286219805,5.71448486704266,0.9279181862973914,1120,Yes,9.799661874771118
0.1,1.0,0.1,3,10,-6.614332183895312,0.0129446119238549,0.4770076206962709,-0.0606647235023024,0.4658190198950226,745.7065691579215,5.626355669941682,0.918325540555484,1080,Yes,9.9334979057312
0.1,1.0,0.5,1,3,-6.592656426898245,0.0155238580023367,0.4767272336395282,-0.1293345368428114,0.4748835654963437,729.7167366835679,5.708604802351881,0.706182096317353,1060,Yes,8.411086797714233
0.1,1.0,0.5,5,4,-6.571441666198416,0.0142795983659098,0.475851628345841,-0.0906006439751447,0.5054673183259342,714.3990260135126,5.701182079365583,0.7155904682304722,1060,Yes,9.08789610862732
0.1,1.0,0.5,2,3,-6.600449795465615,0.0137504783289402,0.4606451716541613,-0.2172382243271674,0.490977296421409,735.4259060967847,5.731714429442492,0.7756136330537289,1100,Yes,9.471529960632324
0.1,1.0,1.0,1,3,-6.592017074318377,0.0202057847833562,0.484688626001075,-0.1607714736333492,0.4332829772387237,729.2503395173995,5.752616806464541,0.8515188744724155,1060,Yes,8.74348497390747
0.1,1.0,1.0,2,3,-6.596171062868828,0.0164146112225349,0.4842452993075594,-0.2192074133739956,0.4818734551221103,732.285937632983,5.799542233152836,0.7748397250588456,1060,Yes,8.873342037200928
0.1,1.0,1.0,5,2,-6.594806442059983,0.0129544349124563,0.4748342371871523,-0.17638282005578,0.50081595764545,731.2873265221816,5.772571922762459,0.7689103867921222,1060,Yes,8.487130880355835
0.1,1.0,2.0,1,2,-6.600372232953404,0.0212227026614103,0.4862896092897585,-0.1689690998858558,0.5085183912452097,735.3688668280457,5.805062845996733,0.7733113068012312,1090,Yes,9.245086431503296
0.1,1.0,2.0,4,3,-6.603117590867788,0.0137400474537508,0.4676942323010374,-0.136039115879578,0.5431101400404514,737.390491338261,5.835399788480425,0.8755671910546236,1110,Yes,8.716965913772583
0.1,1.0,2.0,5,3,-6.607289249519514,0.0116231724621433,0.4546928013327883,-0.1948665152998991,0.436988598928658,740.4730579986691,5.8382152554944655,0.8447794282648701,1060,Yes,8.590675354003906
0.1,1.0,5.0,1,2,-6.637410605436937,0.0189052652744205,0.482928311880869,-0.1705331645352927,0.5065021405872225,763.1164229596836,5.94889084532034,0.7743776457256081,1060,Yes,8.916866064071655
0.1,1.0,5.0,4,2,-6.641034173557955,0.013520208490256,0.4673228432272521,-0.1778957871239354,0.4933350947975728,765.8866433124861,5.978406144145197,0.7705182179280742,1060,Yes,8.88463568687439
0.1,1.0,5.0,3,2,-6.638586955735789,0.0105347765117585,0.4642651830585036,-0.1775281756230381,0.4932003800505331,764.0146433992528,5.960432629369863,0.7921568554767969,1060,Yes,8.871145963668823
0.1,2.0,0.01,2,8,-6.730047691959265,0.0181774715182057,0.4816750549088083,-0.138319223637484,0.4695383188054503,837.18719209952,5.639656588585526,0.9207798641414884,1250,Yes,11.15048336982727
