node_id,renyi_entropy_corrected,nonzero_word_count,total_vocabulary_size,sparsity_ratio,alpha_prior,renyi_alpha,iteration,document_count,layer,parent_id,child_ids,child_count
34349,6.083648284915938,43,1490,0.0288590604026845,0.2,2.0,170,3,2,1.0,,0
34432,5.754879297117554,40,1490,0.0268456375838926,0.2,2.0,170,5,2,7752.0,,0
34441,5.404737552283175,97,1490,0.0651006711409395,0.2,2.0,170,5,2,34205.0,,0
34446,6.672777270020925,27,1490,0.0181208053691275,0.2,2.0,170,4,2,3775.0,,0
34463,5.331608304486662,64,1490,0.0429530201342281,0.2,2.0,170,3,2,34284.0,,0
34481,5.508703139330505,67,1490,0.0449664429530201,0.2,2.0,170,7,2,3.0,,0
34504,6.058982709582648,90,1490,0.0604026845637583,0.2,2.0,170,5,2,5631.0,,0
34505,6.03846889519574,63,1490,0.0422818791946308,0.2,2.0,170,6,2,23422.0,,0
34571,6.188632612018931,55,1490,0.0369127516778523,0.2,2.0,170,2,2,31684.0,,0
34578,5.4038268301936805,58,1490,0.0389261744966442,0.2,2.0,170,5,2,53.0,,0
34591,6.158152140505004,48,1490,0.0322147651006711,0.2,2.0,170,7,2,869.0,,0
34627,6.446214256972907,43,1490,0.0288590604026845,0.2,2.0,170,3,1,0.0,[35265],1
34634,5.902698054430638,64,1490,0.0429530201342281,0.2,2.0,170,4,2,19691.0,,0
34641,6.322037061602007,42,1490,0.0281879194630872,0.2,2.0,170,2,2,22123.0,,0
34654,6.352161243693264,49,1490,0.0328859060402684,0.2,2.0,170,1,2,27410.0,,0
34659,6.188696716637691,63,1490,0.0422818791946308,0.2,2.0,170,5,2,5631.0,,0
34669,5.843867911812975,204,1490,0.1369127516778523,0.2,2.0,170,9,2,1.0,,0
34673,6.387871284526815,46,1490,0.0308724832214765,0.2,2.0,170,2,2,32335.0,,0
34702,5.739146734991306,53,1490,0.0355704697986577,0.2,2.0,170,5,2,9195.0,,0
34705,5.807157457586932,46,1490,0.0308724832214765,0.2,2.0,170,3,2,7969.0,,0
34786,5.148826724808592,60,1490,0.0402684563758389,0.2,2.0,170,5,2,988.0,,0
34820,5.831087806924391,64,1490,0.0429530201342281,0.2,2.0,170,4,2,1.0,,0
34829,6.064072358725475,50,1490,0.0335570469798657,0.2,2.0,170,5,2,20052.0,,0
34858,5.542255956921289,93,1490,0.0624161073825503,0.2,2.0,170,4,2,53.0,,0
34900,6.132133580885345,47,1490,0.0315436241610738,0.2,2.0,170,2,2,808.0,,0
34916,5.742654875156032,95,1490,0.0637583892617449,0.2,2.0,170,6,2,24.0,,0
34928,7.078396700553374,14,1490,0.0093959731543624,0.2,2.0,170,3,1,0.0,"[35206,35332]",2
34943,5.523562998589088,75,1490,0.0503355704697986,0.2,2.0,170,4,2,6175.0,,0
34969,6.057176046894837,48,1490,0.0322147651006711,0.2,2.0,170,2,2,473.0,,0
34975,6.733547061322988,24,1490,0.0161073825503355,0.2,2.0,170,1,2,3.0,,0
34988,6.208217765392283,52,1490,0.0348993288590604,0.2,2.0,170,2,2,128.0,,0
35019,6.1241764961507865,49,1490,0.0328859060402684,0.2,2.0,170,3,2,59.0,,0
35021,6.289961715604861,69,1490,0.0463087248322147,0.2,2.0,170,5,2,33431.0,,0
35044,6.2177250196488725,21,1490,0.0140939597315436,0.2,2.0,170,1,1,0.0,[35188],1
35053,6.099495346954509,39,1490,0.0261744966442953,0.2,2.0,170,2,2,15193.0,,0
35055,6.496901620551993,36,1490,0.0241610738255033,0.2,2.0,170,4,2,97.0,,0
35058,6.576305805371169,26,1490,0.0174496644295302,0.2,2.0,170,6,1,0.0,"[35074,35296,35366]",3
35074,5.957718479189226,64,1490,0.0429530201342281,0.2,2.0,170,2,2,35058.0,,0
35079,6.250258304540052,46,1490,0.0308724832214765,0.2,2.0,170,3,2,145.0,,0
35094,6.012248047459754,68,1490,0.0456375838926174,0.2,2.0,170,5,2,22123.0,,0
35106,6.09218545656149,50,1490,0.0335570469798657,0.2,2.0,170,3,2,808.0,,0
35108,5.3540997831560935,101,1490,0.0677852348993288,0.2,2.0,170,5,2,988.0,,0
35112,5.887942267261907,53,1490,0.0355704697986577,0.2,2.0,170,4,2,7389.0,,0
35114,6.281407699618591,39,1490,0.0261744966442953,0.2,2.0,170,2,2,1.0,,0
35123,6.701489584607216,36,1490,0.0241610738255033,0.2,2.0,170,4,2,22123.0,,0
35126,5.982439963794477,61,1490,0.0409395973154362,0.2,2.0,170,4,2,2255.0,,0
35133,6.516683898956164,38,1490,0.0255033557046979,0.2,2.0,170,3,1,0.0,[35301],1
35154,6.050525946948359,45,1490,0.0302013422818791,0.2,2.0,170,2,2,14207.0,,0
35158,6.129338695872651,55,1490,0.0369127516778523,0.2,2.0,170,4,2,8209.0,,0
