parent_layer,child_layer,parent_node_id,child_node_id,js_distance,parent_doc_count,child_doc_count,alpha,eta_used
1,2,1,8946,0.6418442710810198,390,2,0.05,0.05
1,2,1,9135,0.6374209946909015,390,2,0.05,0.05
1,2,1,9206,0.6832242634005585,390,4,0.05,0.05
1,2,1,9238,0.6429556111552276,390,2,0.05,0.05
1,2,1,9260,0.6258704931832435,390,1,0.05,0.05
1,2,1,9290,0.6422013609709846,390,1,0.05,0.05
1,2,1,9292,0.641002712950783,390,1,0.05,0.05
1,2,1,9295,0.6411148870322035,390,1,0.05,0.05
1,2,1,9300,0.6512053982065372,390,1,0.05,0.05
1,2,5,1231,0.5584434736105848,9,5,0.05,0.05
1,2,5,7456,0.4851672947171259,9,3,0.05,0.05
1,2,5,9215,0.4508573608263399,9,1,0.05,0.05
1,2,13,7138,0.6367641206782908,13,6,0.05,0.05
1,2,13,8431,0.6288557978911488,13,4,0.05,0.05
1,2,13,9196,0.5854188906424522,13,3,0.05,0.05
1,2,34,5900,0.6064497120887585,15,8,0.05,0.05
1,2,34,7196,0.6140107979771809,15,5,0.05,0.05
1,2,34,9244,0.45831709245011665,15,1,0.05,0.05
1,2,34,9284,0.4920735699083407,15,1,0.05,0.05
1,2,41,3240,0.5850473294037032,11,6,0.05,0.05
1,2,41,9256,0.5125591091330821,11,3,0.05,0.05
1,2,41,9265,0.5525404669051891,11,2,0.05,0.05
1,2,79,7058,0.5794574852708951,8,3,0.05,0.05
1,2,79,8493,0.5852873085196768,8,3,0.05,0.05
1,2,79,8683,0.5918927240869295,8,2,0.05,0.05
1,2,81,2538,0.6558794307073282,18,5,0.05,0.05
1,2,81,7938,0.654026914004417,18,5,0.05,0.05
1,2,81,8034,0.6361166924703017,18,7,0.05,0.05
1,2,81,9259,0.6324785490752304,18,1,0.05,0.05
1,2,123,847,0.5903734551728378,11,4,0.05,0.05
1,2,123,3169,0.5788392912426612,11,4,0.05,0.05
1,2,123,8764,0.5728681147043787,11,2,0.05,0.05
1,2,123,9283,0.5139181070553818,11,1,0.05,0.05
1,2,125,3188,0.6135534196604072,21,6,0.05,0.05
1,2,125,8458,0.5609184810102651,21,4,0.05,0.05
1,2,125,9171,0.5425298040919407,21,3,0.05,0.05
1,2,125,9221,0.5156639756507886,21,2,0.05,0.05
1,2,125,9257,0.49194238323927986,21,1,0.05,0.05
1,2,125,9261,0.5666923445329903,21,2,0.05,0.05
1,2,125,9279,0.5401427543608203,21,2,0.05,0.05
1,2,125,9304,0.5392455793703188,21,1,0.05,0.05
1,2,165,1224,0.5963331218051034,17,4,0.05,0.05
1,2,165,5817,0.6386238128364132,17,5,0.05,0.05
1,2,165,8426,0.6178861410982137,17,6,0.05,0.05
1,2,165,9016,0.556791678116515,17,1,0.05,0.05
1,2,165,9286,0.6171575596854375,17,1,0.05,0.05
1,2,178,2386,0.5033265897610933,6,4,0.05,0.05
1,2,178,8930,0.4522741056430746,6,1,0.05,0.05
1,2,178,9264,0.43168350842831166,6,1,0.05,0.05
1,2,204,8667,0.5941037593283731,9,4,0.05,0.05
1,2,204,9028,0.5952001831600139,9,4,0.05,0.05
1,2,204,9254,0.578018398799994,9,1,0.05,0.05
1,2,209,9161,0.5417473951010835,4,3,0.05,0.05
1,2,209,9301,0.5497144148167776,4,1,0.05,0.05
1,2,422,8696,0.5556938512801244,15,4,0.05,0.05
1,2,422,8725,0.5575727256357427,15,2,0.05,0.05
1,2,422,9086,0.6222110161013297,15,2,0.05,0.05
1,2,422,9166,0.5721520020007569,15,6,0.05,0.05
1,2,422,9278,0.5257242515133299,15,1,0.05,0.05
1,2,471,2143,0.6021605871137808,7,4,0.05,0.05
1,2,471,7734,0.5659602051269716,7,2,0.05,0.05
1,2,471,9273,0.48205177579213254,7,1,0.05,0.05
1,2,572,6811,0.5713711650202747,12,2,0.05,0.05
1,2,572,8936,0.5743341651050529,12,4,0.05,0.05
1,2,572,9034,0.6132059905532465,12,4,0.05,0.05
1,2,572,9136,0.545864005324303,12,2,0.05,0.05
1,2,582,583,0.6446082962696121,21,6,0.05,0.05
1,2,582,968,0.6231171317360661,21,6,0.05,0.05
1,2,582,5715,0.5387949711555876,21,3,0.05,0.05
1,2,582,9239,0.5525142222306989,21,2,0.05,0.05
1,2,582,9255,0.5394219958044424,21,1,0.05,0.05
1,2,582,9267,0.4842108698822458,21,1,0.05,0.05
1,2,582,9272,0.5021441355422198,21,1,0.05,0.05
1,2,582,9282,0.5367220742639159,21,1,0.05,0.05
1,2,624,7406,0.5048837248783088,9,6,0.05,0.05
1,2,624,9219,0.40899600281320575,9,1,0.05,0.05
1,2,624,9226,0.4289712247402458,9,2,0.05,0.05
1,2,736,4846,0.6333428287551998,14,5,0.05,0.05
1,2,736,9116,0.5834762399218284,14,3,0.05,0.05
1,2,736,9232,0.5900624862154757,14,4,0.05,0.05
1,2,736,9271,0.5941905969868935,14,2,0.05,0.05
1,2,931,8508,0.622009464227255,10,6,0.05,0.05
1,2,931,8576,0.6172977953334263,10,4,0.05,0.05
1,2,1046,9048,0.5041419540530536,7,4,0.05,0.05
1,2,1046,9263,0.5754254623455028,7,3,0.05,0.05
1,2,1265,1695,0.6355110821344182,19,7,0.05,0.05
1,2,1265,8242,0.5611850897401829,19,5,0.05,0.05
1,2,1265,8255,0.49878214678486493,19,3,0.05,0.05
1,2,1265,9076,0.6068484302080035,19,4,0.05,0.05
1,2,1353,8437,0.615298587323769,16,6,0.05,0.05
1,2,1353,8560,0.5760762858412746,16,4,0.05,0.05
1,2,1353,9198,0.5554228037408269,16,5,0.05,0.05
1,2,1353,9287,0.5824549908798978,16,1,0.05,0.05
1,2,1650,1651,0.5635103906567854,10,4,0.05,0.05
1,2,1650,8804,0.5662009419809914,10,2,0.05,0.05
1,2,1650,9160,0.5073804454216367,10,3,0.05,0.05
1,2,1650,9289,0.47664773065313537,10,1,0.05,0.05
1,2,1784,8300,0.5825570943171214,11,4,0.05,0.05
1,2,1784,8905,0.4573993422280786,11,1,0.05,0.05
1,2,1784,8984,0.5575853748131427,11,2,0.05,0.05
1,2,1784,9262,0.48804659802676875,11,1,0.05,0.05
1,2,1784,9274,0.5790892328398318,11,2,0.05,0.05
1,2,1784,9293,0.39916765222042067,11,1,0.05,0.05
1,2,1788,8883,0.5563834257542095,7,3,0.05,0.05
1,2,1788,9220,0.4741138511196776,7,3,0.05,0.05
1,2,1788,9288,0.5250075977682882,7,1,0.05,0.05
1,2,2231,8900,0.5960625309728652,8,7,0.05,0.05
1,2,2231,9294,0.522232475936913,8,1,0.05,0.05
1,2,2380,3943,0.5336040998333621,4,4,0.05,0.05
1,2,2741,2742,0.6255018300938394,24,11,0.05,0.05
1,2,2741,8486,0.5772838751841607,24,6,0.05,0.05
1,2,2741,8832,0.5780647274212091,24,2,0.05,0.05
1,2,2741,9059,0.4998438712348396,24,2,0.05,0.05
1,2,2741,9183,0.48154258515348514,24,3,0.05,0.05
1,2,2835,3083,0.5996136886777429,18,7,0.05,0.05
1,2,2835,7061,0.5909815463508538,18,4,0.05,0.05
1,2,2835,7807,0.5795363186099418,18,4,0.05,0.05
1,2,2835,9248,0.6184289064599751,18,3,0.05,0.05
1,2,3232,3431,0.5572079553572472,13,5,0.05,0.05
1,2,3232,4905,0.5429441135520009,13,5,0.05,0.05
1,2,3232,9231,0.3576005280078469,13,1,0.05,0.05
1,2,3232,9253,0.49555058250493583,13,2,0.05,0.05
1,2,3776,6524,0.5815770965459436,5,4,0.05,0.05
1,2,3776,8992,0.4287683325346943,5,1,0.05,0.05
1,2,4214,8272,0.610317489301692,13,3,0.05,0.05
1,2,4214,8539,0.6317928636824547,13,5,0.05,0.05
1,2,4214,9109,0.47177128625171333,13,2,0.05,0.05
1,2,4214,9204,0.575855182452469,13,1,0.05,0.05
1,2,4214,9258,0.5627844525603991,13,2,0.05,0.05
1,2,4765,5317,0.5778945791456425,10,6,0.05,0.05
1,2,4765,8459,0.6118694479211968,10,3,0.05,0.05
1,2,4765,9237,0.5532127259031555,10,1,0.05,0.05
1,2,4784,8997,0.5153089151456404,5,4,0.05,0.05
1,2,4784,9269,0.41844948878173144,5,1,0.05,0.05
1,2,4972,5522,0.5740136617731577,8,5,0.05,0.05
1,2,4972,8999,0.48867565560020426,8,1,0.05,0.05
1,2,4972,9276,0.34019079276594316,8,1,0.05,0.05
1,2,4972,9302,0.5012652078047919,8,1,0.05,0.05
1,2,5370,8824,0.487508316893882,4,4,0.05,0.05
1,2,5571,5749,0.6430183696479125,15,9,0.05,0.05
1,2,5571,8528,0.5725342853477448,15,4,0.05,0.05
1,2,5571,8820,0.5823773478967704,15,2,0.05,0.05
1,2,5845,9060,0.5434348620113992,7,3,0.05,0.05
1,2,5845,9169,0.48764901215948375,7,2,0.05,0.05
1,2,5845,9270,0.5423724577662062,7,2,0.05,0.05
1,2,6182,8873,0.6108707057839409,12,3,0.05,0.05
1,2,6182,9014,0.5955725462530085,12,3,0.05,0.05
1,2,6182,9173,0.5866561667512431,12,3,0.05,0.05
1,2,6182,9214,0.5824257988310099,12,2,0.05,0.05
1,2,6182,9280,0.561364190893033,12,1,0.05,0.05
1,2,6243,6944,0.5368982627896849,3,3,0.05,0.05
1,2,6248,6859,0.5940156866003325,16,4,0.05,0.05
1,2,6248,8195,0.615209789110474,16,6,0.05,0.05
1,2,6248,9072,0.5583691553514705,16,2,0.05,0.05
1,2,6248,9102,0.5225679808778013,16,1,0.05,0.05
1,2,6248,9275,0.5298234676425292,16,1,0.05,0.05
1,2,6248,9281,0.552607957055752,16,2,0.05,0.05
1,2,6295,8870,0.48277092433921737,3,3,0.05,0.05
1,2,7013,8859,0.5593916762138953,5,5,0.05,0.05
1,2,7160,8765,0.5695572360361181,14,5,0.05,0.05
1,2,7160,9113,0.5602604902445493,14,4,0.05,0.05
1,2,7160,9149,0.5687645959755522,14,3,0.05,0.05
1,2,7160,9296,0.5027488891564426,14,1,0.05,0.05
1,2,7160,9299,0.48775789904806316,14,1,0.05,0.05
1,2,7740,8159,0.5738210007868326,7,3,0.05,0.05
