depth,gamma,eta,alpha,layer,node_id,parent_id,entropy,doc_count,unique_words,total_words,path
3,0.05,0.02,0.1,2,20009,,3.46588833020647,2,153,81,
3,0.05,0.02,0.1,2,20126,,2.176222189848136,2,102,35,
3,0.05,0.02,0.1,2,2213,,3.692941614890985,10,292,267,
3,0.05,0.02,0.1,2,20157,,3.3199920521456994,3,165,92,
3,0.05,0.02,0.1,2,15178,,2.9647084217059234,2,114,116,
3,0.05,0.02,0.1,2,19323,,3.0454696317321983,2,90,65,
3,0.05,0.02,0.1,2,19299,,2.444084655267746,2,60,24,
3,0.05,0.02,0.1,2,6260,,3.402558852260477,4,168,105,
3,0.05,0.02,0.1,2,1773,,2.956030945703999,6,221,111,
3,0.05,0.02,0.1,2,20047,,3.1383966245454213,3,121,91,
3,0.05,0.02,0.1,2,19937,,2.945588734970017,2,87,59,
3,0.05,0.02,0.1,2,19738,,2.86121517360471,3,154,39,
3,0.05,0.02,0.1,2,19895,,1.6094379124341003,2,72,5,
3,0.05,0.02,0.1,2,20221,,2.5843405467761875,2,95,27,
3,0.05,0.02,0.1,2,1076,,2.839545685378046,3,129,89,
3,0.05,0.02,0.1,2,20222,,3.3002214643221532,1,76,80,
3,0.05,0.02,0.1,2,20115,,2.755927706633865,1,63,37,
3,0.05,0.02,0.1,2,20223,,2.605294531928977,1,53,31,
3,0.05,0.02,0.1,2,15671,,3.1917526747061067,4,167,84,
3,0.05,0.02,0.1,2,17396,,3.3692298327650487,3,116,91,
3,0.05,0.02,0.1,2,17154,,3.3997283475564437,5,241,167,
3,0.05,0.02,0.1,2,19919,,3.1585126751411106,2,75,75,
3,0.05,0.02,0.1,2,6539,,3.6054508574778223,5,229,113,
3,0.05,0.02,0.1,2,19929,,3.1435326359797116,3,133,88,
3,0.05,0.02,0.1,2,20224,,3.106920843485093,2,107,69,
3,0.05,0.02,0.1,2,20023,,2.873218678669916,2,120,51,
3,0.05,0.02,0.1,2,19415,,2.5241689871166084,2,82,31,
3,0.05,0.02,0.1,2,17051,,2.68907346217452,4,150,67,
3,0.05,0.02,0.1,2,18147,,2.915088784847064,2,90,64,
3,0.05,0.02,0.1,2,20123,,3.5625002376212622,3,173,147,
3,0.05,0.02,0.1,2,20188,,3.1991072395457785,2,108,48,
3,0.05,0.02,0.1,2,2189,,3.2912079330503787,7,254,181,
3,0.05,0.02,0.1,2,20125,,3.0264543892545976,2,137,87,
3,0.05,0.02,0.1,2,20225,,2.521582128346407,2,101,19,
3,0.05,0.02,0.1,2,20226,,3.3266586013325714,2,149,103,
3,0.05,0.02,0.1,2,19330,,2.495592672051817,4,170,59,
3,0.05,0.02,0.1,2,20175,,3.4022385061705664,3,122,62,
3,0.05,0.02,0.1,2,20127,,3.022141035527288,2,159,108,
3,0.05,0.02,0.1,2,20227,,2.9733021372268986,2,80,51,
3,0.05,0.02,0.1,2,516,,3.0410755004138594,3,130,134,
3,0.05,0.02,0.1,2,181,,3.6565005480891664,4,170,177,
3,0.05,0.02,0.1,2,20228,,2.996916406315208,1,89,65,
3,0.05,0.02,0.1,2,20229,,2.6505517090409936,1,89,70,
3,0.05,0.02,0.1,2,20230,,2.6651542341828263,1,45,51,
3,0.05,0.02,0.1,2,20231,,2.3625174337167203,1,50,38,
3,0.05,0.02,0.1,2,20163,,3.307265561827951,4,191,132,
3,0.05,0.02,0.1,2,20036,,3.1867794884651763,3,191,81,
3,0.05,0.02,0.1,2,20232,,2.8120236165673567,2,100,41,
3,0.05,0.02,0.1,2,20051,,2.772588722239781,2,116,24,
3,0.05,0.02,0.1,2,20233,,3.0115407248702746,1,57,43,
3,0.05,0.02,0.1,2,178,,2.9781458361003965,5,199,173,
3,0.05,0.02,0.1,2,7328,,4.131577632669405,5,274,272,
3,0.05,0.02,0.1,2,18510,,3.44132709508865,5,174,95,
3,0.05,0.02,0.1,2,20180,,0.0,1,1,0,
3,0.05,0.02,0.1,2,20178,,2.8684530721885184,3,151,38,
3,0.05,0.02,0.1,2,18410,,3.1307827820078304,2,121,77,
3,0.05,0.02,0.1,2,20053,,2.657054216067229,2,102,29,
