gamma,experiment_type,run_id,parent_id,parent_layer,child_id,child_layer,layer_transition,js_distance,parent_doc_count,child_doc_count
0.005,single,1,4530.0,2.0,4531.0,3.0,2->3,0.3694958035888908,3.0,1.0
0.005,single,1,4022.0,2.0,4532.0,3.0,2->3,0.4174200462030388,8.0,2.0
0.005,single,1,4444.0,2.0,4533.0,3.0,2->3,0.4730056295805796,6.0,3.0
0.005,single,1,3451.0,2.0,4534.0,3.0,2->3,0.363645681246453,5.0,2.0
0.005,single,1,4022.0,2.0,4535.0,3.0,2->3,0.4246926630168549,8.0,1.0
0.005,single,1,4338.0,2.0,4536.0,3.0,2->3,0.3110373815182369,2.0,1.0
0.005,single,1,0.0,0.0,4537.0,1.0,0->1,0.6008648855899283,970.0,4.0
0.005,single,1,4537.0,1.0,4538.0,2.0,1->2,0.3762444808798265,4.0,3.0
0.005,single,1,4538.0,2.0,4539.0,3.0,2->3,0.4112754632249364,3.0,3.0
0.005,single,1,2753.0,2.0,4540.0,3.0,2->3,0.4566954566170908,9.0,3.0
0.005,single,1,3572.0,1.0,4541.0,2.0,1->2,0.0,5.0,1.0
0.005,single,1,4541.0,2.0,4542.0,3.0,2->3,0.342276440214791,1.0,1.0
0.005,single,1,104.0,2.0,4543.0,3.0,2->3,0.447647275832556,20.0,1.0
0.005,single,1,1.0,1.0,4544.0,2.0,1->2,0.6400951940657212,782.0,4.0
0.005,single,1,4544.0,2.0,4545.0,3.0,2->3,0.5094712289607006,4.0,4.0
0.005,single,1,2.0,2.0,4546.0,3.0,2->3,0.5818266573580834,502.0,2.0
0.005,single,1,3302.0,2.0,4547.0,3.0,2->3,0.4194799498660296,11.0,2.0
0.005,single,1,660.0,2.0,4548.0,3.0,2->3,0.4968325175071644,33.0,1.0
0.005,single,1,3367.0,2.0,4549.0,3.0,2->3,0.2832251918623852,5.0,1.0
0.005,single,1,69.0,2.0,4550.0,3.0,2->3,0.4792154523327394,9.0,1.0
0.005,single,1,4338.0,2.0,4551.0,3.0,2->3,0.3980210527564614,2.0,1.0
0.005,single,1,2733.0,2.0,4552.0,3.0,2->3,0.3725761389545593,10.0,1.0
0.005,single,1,872.0,2.0,4553.0,3.0,2->3,0.4271128950325645,13.0,1.0
0.005,single,1,4530.0,2.0,4554.0,3.0,2->3,0.3831038093119378,3.0,2.0
0.005,single,1,4537.0,1.0,4555.0,2.0,1->2,0.1605801827469258,4.0,1.0
0.005,single,1,4555.0,2.0,4556.0,3.0,2->3,0.3323924812616635,1.0,1.0
0.005,single,1,4170.0,2.0,4557.0,3.0,2->3,0.3966649176842632,4.0,1.0
0.005,single,1,894.0,1.0,4558.0,2.0,1->2,0.4342715433431695,12.0,3.0
0.005,single,1,4558.0,2.0,4559.0,3.0,2->3,0.3802116121258314,3.0,3.0
0.005,single,1,4361.0,2.0,4560.0,3.0,2->3,0.4543340543744904,11.0,1.0
0.005,single,1,2255.0,2.0,4561.0,3.0,2->3,0.4594386356629649,8.0,1.0
0.005,single,1,4374.0,2.0,4562.0,3.0,2->3,0.4326891031961898,4.0,1.0
0.005,single,1,4399.0,2.0,4563.0,3.0,2->3,0.3889365077789565,5.0,1.0
0.005,single,2,0.0,0.0,1.0,1.0,0->1,0.482408393746729,970.0,770.0
0.005,single,2,1.0,1.0,2.0,2.0,1->2,0.5539590793282951,770.0,559.0
0.005,single,2,2.0,2.0,3.0,3.0,2->3,0.5828939167056615,559.0,285.0
0.005,single,2,0.0,0.0,5.0,1.0,0->1,0.6287282700956051,970.0,30.0
0.005,single,2,2.0,2.0,18.0,3.0,2->3,0.5952797262453713,559.0,5.0
0.005,single,2,0.0,0.0,30.0,1.0,0->1,0.6105090294876332,970.0,12.0
0.005,single,2,2.0,2.0,49.0,3.0,2->3,0.6318035671408356,559.0,16.0
0.005,single,2,0.0,0.0,72.0,1.0,0->1,0.6396845509323724,970.0,14.0
0.005,single,2,72.0,1.0,73.0,2.0,1->2,0.5531949222433291,14.0,14.0
0.005,single,2,0.0,0.0,93.0,1.0,0->1,0.6266017339857652,970.0,18.0
0.005,single,2,1.0,1.0,96.0,2.0,1->2,0.6583308774356847,770.0,10.0
0.005,single,2,2.0,2.0,99.0,3.0,2->3,0.6281398190143883,559.0,12.0
0.005,single,2,1.0,1.0,149.0,2.0,1->2,0.6637397454307071,770.0,28.0
0.005,single,2,2.0,2.0,166.0,3.0,2->3,0.6388459053286841,559.0,8.0
0.005,single,2,149.0,2.0,170.0,3.0,2->3,0.5937000105038537,28.0,5.0
0.005,single,2,0.0,0.0,196.0,1.0,0->1,0.6219814464519181,970.0,28.0
0.005,single,2,2.0,2.0,202.0,3.0,2->3,0.6581295748956018,559.0,19.0
0.005,single,2,2.0,2.0,230.0,3.0,2->3,0.5933464874648336,559.0,12.0
0.005,single,2,1.0,1.0,243.0,2.0,1->2,0.6291141975933392,770.0,9.0
0.005,single,2,2.0,2.0,283.0,3.0,2->3,0.6252127403693258,559.0,7.0
0.005,single,2,2.0,2.0,309.0,3.0,2->3,0.6436539218145692,559.0,17.0
0.005,single,2,2.0,2.0,347.0,3.0,2->3,0.6625164303895763,559.0,18.0
0.005,single,2,1.0,1.0,474.0,2.0,1->2,0.6312640609591308,770.0,11.0
0.005,single,2,1.0,1.0,535.0,2.0,1->2,0.5995822451033977,770.0,14.0
0.005,single,2,0.0,0.0,621.0,1.0,0->1,0.5919432913037439,970.0,3.0
0.005,single,2,2.0,2.0,667.0,3.0,2->3,0.6077732586929997,559.0,4.0
0.005,single,2,0.0,0.0,756.0,1.0,0->1,0.6048723630125905,970.0,22.0
0.005,single,2,756.0,1.0,757.0,2.0,1->2,0.4879564372351678,22.0,12.0
0.005,single,2,2.0,2.0,814.0,3.0,2->3,0.6073850443281075,559.0,5.0
0.005,single,2,535.0,2.0,948.0,3.0,2->3,0.5296005079835567,14.0,9.0
0.005,single,2,1.0,1.0,970.0,2.0,1->2,0.6364581731285677,770.0,22.0
0.005,single,2,1.0,1.0,987.0,2.0,1->2,0.6249156714819768,770.0,24.0
0.005,single,2,1.0,1.0,1010.0,2.0,1->2,0.6270757662300723,770.0,13.0
0.005,single,2,196.0,1.0,1019.0,2.0,1->2,0.5112197963575039,28.0,8.0
0.005,single,2,2.0,2.0,1032.0,3.0,2->3,0.5923268627446535,559.0,8.0
0.005,single,2,987.0,2.0,1059.0,3.0,2->3,0.4899750675732923,24.0,4.0
0.005,single,2,30.0,1.0,1079.0,2.0,1->2,0.4820900881811935,12.0,11.0
0.005,single,2,149.0,2.0,1093.0,3.0,2->3,0.6116426908774546,28.0,10.0
0.005,single,2,970.0,2.0,1158.0,3.0,2->3,0.5453989186116214,22.0,9.0
0.005,single,2,1079.0,2.0,1190.0,3.0,2->3,0.54963033583518,11.0,10.0
0.005,single,2,1010.0,2.0,1315.0,3.0,2->3,0.5243480422402588,13.0,7.0
0.005,single,2,149.0,2.0,1325.0,3.0,2->3,0.558965108991133,28.0,2.0
0.005,single,2,0.0,0.0,1332.0,1.0,0->1,0.616541451064903,970.0,16.0
0.005,single,2,2.0,2.0,1337.0,3.0,2->3,0.5966447133371613,559.0,4.0
0.005,single,2,2.0,2.0,1380.0,3.0,2->3,0.6327391536295423,559.0,8.0
0.005,single,2,2.0,2.0,1385.0,3.0,2->3,0.6176105469704133,559.0,19.0
0.005,single,2,1.0,1.0,1564.0,2.0,1->2,0.6141626357929828,770.0,8.0
0.005,single,2,149.0,2.0,1599.0,3.0,2->3,0.5619432217479818,28.0,4.0
0.005,single,2,1.0,1.0,1693.0,2.0,1->2,0.6078256993993256,770.0,4.0
0.005,single,2,2.0,2.0,1732.0,3.0,2->3,0.6135698963605608,559.0,5.0
0.005,single,2,757.0,2.0,1839.0,3.0,2->3,0.5191568840860941,12.0,8.0
0.005,single,2,1693.0,2.0,1867.0,3.0,2->3,0.4556372245732537,4.0,4.0
0.005,single,2,2.0,2.0,1949.0,3.0,2->3,0.6212360540852495,559.0,8.0
0.005,single,2,1.0,1.0,1964.0,2.0,1->2,0.5913548286126968,770.0,5.0
0.005,single,2,756.0,1.0,1992.0,2.0,1->2,0.4890022080354065,22.0,5.0
0.005,single,2,474.0,2.0,2067.0,3.0,2->3,0.4841835954375028,11.0,2.0
0.005,single,2,2.0,2.0,2121.0,3.0,2->3,0.6149601550071403,559.0,5.0
0.005,single,2,5.0,1.0,2273.0,2.0,1->2,0.5976045310513443,30.0,11.0
0.005,single,2,2.0,2.0,2278.0,3.0,2->3,0.6441708077010859,559.0,10.0
0.005,single,2,2.0,2.0,2351.0,3.0,2->3,0.6258811669125028,559.0,9.0
0.005,single,2,1.0,1.0,2431.0,2.0,1->2,0.6376027569986737,770.0,12.0
0.005,single,2,0.0,0.0,2459.0,1.0,0->1,0.615682903523202,970.0,11.0
0.005,single,2,2.0,2.0,2660.0,3.0,2->3,0.6335738595414503,559.0,14.0
0.005,single,2,2.0,2.0,2669.0,3.0,2->3,0.6084645275092464,559.0,6.0
0.005,single,2,5.0,1.0,2722.0,2.0,1->2,0.581860100430268,30.0,7.0
0.005,single,2,5.0,1.0,2838.0,2.0,1->2,0.5917362390578849,30.0,5.0
0.005,single,2,2722.0,2.0,2875.0,3.0,2->3,0.5172426061340378,7.0,4.0
0.005,single,2,2.0,2.0,3008.0,3.0,2->3,0.6244566540397357,559.0,8.0
0.005,single,2,1332.0,1.0,3045.0,2.0,1->2,0.4730367675681511,16.0,5.0
0.005,single,2,96.0,2.0,3050.0,3.0,2->3,0.5134429084297569,10.0,5.0
0.005,single,2,0.0,0.0,3144.0,1.0,0->1,0.6021301860925913,970.0,7.0
